gene.name	gene.description	gene.family
Solyc09g075090	Serine/arginine-rich-splicing factor SR34 (AHRD V3.3 *** A0A0M8KT32_NICAT)	
Solyc09g075170	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G2W0G2_CAPBA)	
Solyc09g075190	Gamma-tubulin complex component (AHRD V3.3 *** A0A1U8GAP0_CAPAN),Pfam:PF17681	
Solyc09g075220	DUF538 family protein (AHRD V3.3 *** B6SJU2_MAIZE)	
Solyc09g075300	Epoxide hydrolase 2 (AHRD V3.3 *** B6T857_MAIZE)	
Solyc09g075440	Never ripe-2	
Solyc09g075460	Pectin lyase-like superfamily protein (AHRD V3.3 *** A0A2U1PV10_ARTAN)	
Solyc09g075500	DUF789 domain-containing protein (AHRD V3.3 *** A0A1Q3AMZ2_CEPFO)	
Solyc09g075530	Syntaxin (AHRD V3.3 *** A0A2G3BWC1_CAPCH)	
Solyc09g075540	COBRA-like protein 8 (AHRD V3.3 *** A0A2G3BWC4_CAPCH)	
Solyc09g075560	Hexosyltransferase (AHRD V3.3 *** A0A2G3BWD5_CAPCH)	
Solyc09g075570	hypothetical protein (AHRD V3.3 *** AT3G62650.2)	
Solyc09g075580	leucine-rich repeat extensin-like protein 3 (AHRD V3.3 *** XP_010326654.1)	
Solyc09g075750	membrane-associated kinase regulator (AHRD V3.3 *** AT5G26230.1)	
Solyc09g075770	Long-chain acyl-CoA synthetase 6 (AHRD V3.3 *** A0A2U1MVC5_ARTAN)	
Solyc09g075810	Mavicyanin (AHRD V3.3 *** A0A2G3CT63_CAPCH)	
Solyc09g075900	Spermidine synthase (AHRD V3.3 *** F8WLB6_CITUN),Pfam:PF01564	
Solyc09g075910	Receptor-like protein kinase (AHRD V3.3 *** A0A2U1PPA0_ARTAN)	
Solyc09g075960	DUF868 domain-containing protein (AHRD V3.3 *** A0A1Q3CLP0_CEPFO)	
Solyc09g075970	Sec14p-like phosphatidylinositol transfer family protein (AHRD V3.3 *** F4I8Q8_ARATH)	
Solyc09g076000	MAP kinase kinase kinase 71	
Solyc09g076010	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein (AHRD V3.3 *** A0A1P8B7I1_ARATH)	
Solyc09g082050	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUV.1	
Solyc09g082110	Late embryogenesis abundant protein D-34 (AHRD V3.11 *** tr|A0A2G2ZVC9|A0A2G2ZVC9_CAPAN)	
Solyc09g082230	N-acetyltransferase (AHRD V3.3 *** A0A2N9Z4V7_PAEPO)	
Solyc09g082320	Proteasome subunit beta (AHRD V3.3 *** A0A1Q3DBP1_CEPFO)	
Solyc09g082340	vicilin	
Solyc09g082390	Pentatricopeptide repeat (AHRD V3.3 *** A0A200RCQ9_9MAGN)	
Solyc09g082450	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G3CSX3_CAPCH)	
Solyc09g082460	Homocysteine S-methyltransferase (AHRD V3.3 *** A0A200QYH8_9MAGN)	
Solyc09g082490	protein XR.1	
Solyc09g082510	Kinase interacting (KIP1-like) family protein (AHRD V3.3 *** A0A2K3NUK8_TRIPR)	
Solyc09g082550	Sulfate transporter (AHRD V3.3 *** Q70BL1_BRAOL)	
Solyc09g082560	SUN-like protein 26	
Solyc09g082680	Dymeclin (AHRD V3.3 *** A0A2U1PDG2_ARTAN),Pfam:PF09742	
Solyc09g082790	DNA repair (Rad51) family protein (AHRD V3.11 *** tr|A0A1I9LT97|A0A1I9LT97_ARATH)	
Solyc09g082800	Pkinase domain-containing protein/LRR_4 domain-containing protein/LRR_7 domain-containing protein/ED.1	
Solyc09g082860	ATP sulfurylase (AHRD V3.3 *** Q8SAG1_SOYBN)	
Solyc09g082970	Pyruvate kinase (AHRD V3.3 *** A0A2G2W137_CAPBA)	
Solyc09g083000	Armadillo repeat-containing protein LFR (AHRD V3.3 *** A0A2G2W133_CAPBA)	
Solyc09g083020	inactive protein RESTRICTED TEV MOVEMENT 1-like (AHRD V3.3 *** A0A1S3ZEZ8_TOBAC)	
Solyc09g083030	inactive protein RESTRICTED TEV MOVEMENT 1-like (AHRD V3.3 *** A0A1S3ZEZ8_TOBAC)	
Solyc09g083050	3-ketoacyl-CoA synthase (AHRD V3.3 *** A0A2G3CSP6_CAPCH)	
Solyc09g083200	Protein kinase-like domain-containing protein (AHRD V3.3 *** A0A2U1MF72_ARTAN)	
Solyc09g083260	Ion channel pollux-like protein (AHRD V3.3 *** A0A2K3NXN4_TRIPR)	
Solyc09g083270	rRNA-processing EFG1-like protein (DUF2361) (AHRD V3.3 *** A0A1P8ANS3_ARATH)	
Solyc09g083340	DNA-directed RNA polymerase ii subunit rpb7-like protein (AHRD V3.3 *** A0A2K3MTA8_TRIPR)	
Solyc09g083350	Chloroplastic group IIA intron splicing facilitator CRS1, chloroplastic (AHRD V3.3 *** A0A1J3FEK9_NOCCA)	
Solyc09g083400	Protein WVD2-like.1	
Solyc09g089520	Proteinase inhibitor (AHRD V3.3 *** A0A1J3I3T7_NOCCA)	
Solyc09g089560	MATH domain-containing protein (AHRD V3.3 *-* A0A1Q3BTU7_CEPFO)	
Solyc09g089620	AT-hook motif nuclear-localized protein (AHRD V3.3 *** A0A2G3BF72_CAPCH)	
Solyc09g089740	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (AHRD V3.3 *** A0A2U1NTU8_ARTAN)	
Solyc09g089780	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (AHRD V3.3 *** O80851_ARATH)	
Solyc09g089850	CASP-like protein (AHRD V3.3 *** A0A2I4GE76_9ROSI)	
Solyc09g089880	Electron transfer flavoprotein beta-subunit (AHRD V3.3 *** B6TPR6_MAIZE)	
Solyc09g090020	Germin-like protein subfamily.1	
Solyc09g090050	RNA-binding ASCH domain protein (AHRD V3.3 *** AT2G20410.2)	
Solyc09g090070	phosphate transporter 1	
Solyc09g090080	Phosphate transporter (AHRD V3.3 *** Q9AYT3_TOBAC)	
Solyc09g090140	Malate dehydrogenase (AHRD V3.11 *** tr|A0A1U8G3L8|A0A1U8G3L8_CAPAN)	
Solyc09g090180	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 6 (AHRD V3.3 *** A0A2G2W1D1_CAPBA)	
Solyc09g090220	Pentatricopeptide repeat (AHRD V3.3 *** A0A200QEC4_9MAGN)	
Solyc09g090290	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *-* AT3G23370.1)	
Solyc09g090300	dCTP pyrophosphatase-like protein (AHRD V3.3 *** Q9LSW0_ARATH)	
Solyc09g090420	U2 snRNP auxiliary factor large subunit (AHRD V3.3 *-* A0A1I7S9N1_BURXY)	
Solyc09g090600	acid phosphatase 1-like (AHRD V3.3 *** A0A1U7W5M1_NICSY)	
Solyc09g090610	Ribosomal protein L17 (AHRD V3.3 *** Q5I7K4_WHEAT)	
Solyc09g090630	Histone-lysine N-methyltransferase SUVR4 (AHRD V3.3 *** A0A2G2ZUA4_CAPAN)	
Solyc09g090670	TLD-domain containing nucleolar protein (AHRD V3.3 *** A0A2U1NM40_ARTAN)	
Solyc09g090700	Succinate semialdehyde dehydrogenase (AHRD V3.3 *** A0A2U1MA81_ARTAN)	
Solyc09g090780	Pentatricopeptide repeat (AHRD V3.3 *** A0A200Q2Y2_9MAGN)	
Solyc09g090930	Tetratricopeptide repeat (TPR)-like superfamily protein (AHRD V3.3 *-* Q8VZ31_ARATH)	
Solyc09g091130	Glutathione S-transferase (AHRD V3.11 *** tr|A0A200PVL1|A0A200PVL1_9MAGN)	
Solyc09g091160	F-box domain (AHRD V3.3 *-* A0A200PVK2_9MAGN)	
Solyc09g091180	60 kDa chaperonin (AHRD V3.3 *** Q8H903_ORYSJ)	
Solyc09g091190	PHD finger protein ING (AHRD V3.3 *** A0A2G2ZU28_CAPAN)	
Solyc09g091200	Serinc-domain containing serine and sphingolipid biosynthesis protein (AHRD V3.3 *** A0A2U1P747_ARTAN)	
Solyc09g091230	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (AHRD V3.3 *** Q9LIQ3_ARATH)	
Solyc09g091240	GDT1-like protein 2, chloroplastic (AHRD V3.3 *** A0A2G3CRV7_CAPCH)	
Solyc09g091260	Leucine-rich repeat receptor-like protein kinase (AHRD V3.3 *** A0A2R6PXD2_ACTCH)	
Solyc09g091270	cotton fiber protein (AHRD V3.3 *** AT5G13880.2)	
Solyc09g091370	holliday junction resolvase (AHRD V3.3 *** AT1G04650.1)	
Solyc09g091390	glycine-rich protein 5-like (AHRD V3.3 *-* XP_004247821.1)	
Solyc09g091420	Inosine triphosphate pyrophosphatase (AHRD V3.3 *** A0A2G2W1Y2_CAPBA)	
Solyc09g091440	Histone deacetylase (AHRD V3.3 *** A0A1U8GVA3_CAPAN)	
Solyc09g091450	DNA polymerase delta subunit 4 (AHRD V3.3 *** A0A1U8GX30_CAPAN)	
Solyc09g091460	P.1	
Solyc09g091470	3-ketoacyl-CoA thiolase peroxisomal-like (AHRD V3.3 *** A0A2K3P5R8_TRIPR)	
Solyc09g091480	RING/U-box superfamily protein (AHRD V3.11 *** tr|A0A2U1MK33|A0A2U1MK33_ARTAN)	
Solyc09g091580	Protein kinase domain (AHRD V3.3 *** A0A200QUN4_9MAGN)	
Solyc09g091750	26S proteasome non-ATPase regulatory subunit.1	
Solyc09g091790	E3 ubiquitin-protein ligase PR.1	
Solyc09g091820	putative type 1 membrane protein Chr3:8726241-8729023 FORWARD LENGTH=364 201606 (AHRD V3.11 *** AT3G24160.1)	
Solyc09g091900	ER lumen protein-retaining receptor (AHRD V3.3 *** A0A1U8G5I2_CAPAN)	
Solyc09g091910	Purple acid phosphatase (AHRD V3.3 *** A0A2G2W1Z0_CAPBA)	
Solyc09g092050	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G2W2D7_CAPBA)	
Solyc09g092070	Rab-GTPase-TBC domain-containing protein (AHRD V3.11 *** tr|A0A2U1M9R1|A0A2U1M9R1_ARTAN)	
Solyc09g092100	Histidine kinase/DNA gyrase B (AHRD V3.3 *** A0A2K3NM59_TRIPR)	
Solyc09g092130	Sucrose phosphate synthase (AHRD V3.3 *** A0A0B5L7E2_LILDA)	
Solyc09g092180	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein (AHRD V3.3 *** F4J6J4_ARATH)	
Solyc01g008980	Abscisic acid-insensitive 5-like protein (AHRD V3.3 *-* A0A2K3P2S8_TRIPR)	bZIP
Solyc01g057910	R2R3MYB transcription factor 2	MYB
Solyc01g065540	Two-component response regulator (AHRD V3.3 *** A0A2G3DGB4_CAPCH)	ARR-B
Solyc01g079210	SWR1-complex protein 4 (AHRD V3.3 *** A0A2G3AKV1_CAPAN)	MYB_related
Solyc01g079620	Myb 12 transcription factor (AHRD V3.11 *** tr|D2EBC3|D2EBC3_9SOLN)	MYB
Solyc01g081630	UPSTREAM OF FLC-like protein (DUF966) (AHRD V3.11 *-* tr|F4J7X6|F4J7X6_ARATH)	C2H2
Solyc01g073910	Homeobox-leucine zipper protein HOX27 (AHRD V3.11 *** tr|A0A2G2XRN9|A0A2G2XRN9_CAPBA)	HD-ZIP
Solyc01g086870	bHLH transcription factor 076	bHLH
Solyc01g087240	Nuclear transcription factor Y subunit A-9 (AHRD V3.3 *** A0A1U8DTI1_CAPAN)	NF-YA
Solyc01g087990	MADS-box transcription factor (AHRD V3.3 *** Q75V01_9ASPA)	MIKC_MADS
Solyc01g090300	Ethylene-responsive transcription factor 2 (AHRD V3.3 *** A0A2G3DF02_CAPCH)	ERF
Solyc01g090310	Ethylene-responsive transcription factor 13 (AHRD V3.11 *** tr|A0A2G2XMR4|A0A2G2XMR4_CAPBA)	ERF
Solyc01g095460	Common plant regulatory factor.1	bZIP
Solyc01g096120	Dof zinc finger protein1	Dof
Solyc01g096370	transcription factor MYC2 (AHRD V3.3 *** A0A2I4DDN6_9ROSI)	bHLH
Solyc01g102300	bHLH transcription factor 006	bHLH
Solyc01g102340	R2R3MYB transcription factor 61	MYB
Solyc01g103050	Auxin Response Factor 1	ARF
Solyc01g103180	Protein FAR1-RELATED SEQUENCE .1	FAR1
Solyc01g104760	Sequence-specific DNA binding transcription factor (AHRD V3.3 *** A0A2K3PC30_TRIPR)	Trihelix
Solyc01g106250	B3 domain-containing protein (AHRD V3.3 *-* A0A1Q3CKL9_CEPFO)	B3
Solyc01g106460	bHLH transcription factor 007	bHLH
Solyc01g107190	LOB domain-containing protein 38 (AHRD V3.3 *** A0A2G2V731_CAPBA)	LBD
Solyc01g108080	ABSCISIC ACID-INSENSITIVE 5-like protein 7 (AHRD V3.3 *** A0A2G3BV73_CAPCH)	bZIP
Solyc01g108130	B3 domain-containing protein (AHRD V3.11 *-* tr|A0A2G2W9Y8|A0A2G2W9Y8_CAPBA)	B3
Solyc01g110180	Zinc finger, B-box (AHRD V3.11 *** tr|A0A2U1KI66|A0A2U1KI66_ARTAN)	DBB
Solyc01g110370	Zinc finger, B-box (AHRD V3.3 *** A0A2U1LAI4_ARTAN)	DBB
Solyc01g110490	tRNA-dihydrouridine(47) synthase [NAD(P)(+)] (AHRD V3.11 *** tr|A0A2G2XNG9|A0A2G2XNG9_CAPBA)	C3H
Solyc01g112190	Plant regulator RWP-RK family protein, putative (AHRD V3.3 *** A0A061FD78_THECC)	Nin-like
Solyc01g112320	Protein FAR1-RELATED SEQUENCE 5 (AHRD V3.3 *** A0A2G3BWC6_CAPCH)	FAR1
Solyc02g062950	G-box binding	bZIP
Solyc02g063010	BES1/BZR1-like protein (AHRD V3.3 *** A0A2U1KKL8_ARTAN)	BES1
Solyc02g064630	Telomere repeat-binding factor.1	MYB_related
Solyc02g064960	APETALA2b	AP2
Solyc02g067340	Transcription factor (AHRD V3.11 *** tr|Q40175|Q40175_SOLLC)	MYB
Solyc02g067410	Homeobox-leucine zipper protein HOX.1	HD-ZIP
Solyc02g076670	Myb domain, Homeodomain-like protein (AHRD V3.3 *** A0A2U1Q384_ARTAN)	G2-like
Solyc02g077250	TCP transcription factor 1	TCP
Solyc02g077840	Ethylene-responsive transcription factor 4 (AHRD V3.3 *-* A0A2G3D5H4_CAPCH)	ERF
Solyc02g078620	Dof zinc finger protein DOF5.3 (AHRD V3.3 *** A0A2G3D6D4_CAPCH)	Dof
Solyc02g078810	Bromodomain protein (AHRD V3.3 *** A0A2K3P7T0_TRIPR)	MYB_related
Solyc02g081120	class.1	TALE
Solyc02g081270	NAC domain-containing protein 53 (AHRD V3.3 *** A0A2G2XFS7_CAPBA)	NAC
Solyc02g082110	Zinc finger CCCH domain-containing protein 1 (AHRD V3.11 *** tr|A0A2G2XFI0|A0A2G2XFI0_CAPBA)	C3H
Solyc02g083750	DNA-binding storekeeper transcriptional regulator (AHRD V3.3 *-* A0A2K3LQD1_TRIPR)	GeBP
Solyc02g084230	GAGA-binding transcriptional activator (AHRD V3.3 *** H1ZN87_SOLLC)	BBR-BPC
Solyc02g084350	NAC domain-containing protein (AHRD V3.3 *** A0A2K3PFA3_TRIPR)	NAC
Solyc02g084420	Zinc finger, B-box (AHRD V3.3 *-* A0A2U1LAI4_ARTAN)	DBB
Solyc02g084590	GATA transcription factor (AHRD V3.3 *** K4BAX4_SOLLC)	GATA
Solyc02g084880	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein (AHRD V3.3 *-* A0A2U1PMP2_ARTAN)	bHLH
Solyc02g085580	Protein indeterminate-domain.1	C2H2
Solyc02g086430	zinc finger CCCH domain-containing protein 15-like (AHRD V3.11 *** tr|A0A2I4GGD8|A0A2I4GGD8_9ROSI)	C3H
Solyc02g086930	Homeobox-leucine zipper protein HAT5 (AHRD V3.3 *** A0A2G2XIE8_CAPBA)	HD-ZIP
Solyc02g087960	R2R3MYB transcription factor  94	MYB
Solyc02g088070	Dof zinc finger protein (AHRD V3.3 *** A0A2K3PAB0_TRIPR)	Dof
Solyc02g088190	MYB transcription factor (AHRD V3.11 *-* tr|A0A0U3IU11|A0A0U3IU11_MESCR)	MYB
Solyc02g088340	WRKY transcription factor 3	WRKY
Solyc02g089210	MADS box transcription factor (AHRD V3.3 *** Q689E7_GENTR)	MIKC_MADS
Solyc02g089500	Zinc finger protein CONSTANS (AHRD V3.11 *-* sp|Q39057|CONS_ARATH)	DBB
Solyc02g090220	Dof zinc finger protein PBF (AHRD V3.3 *** A0A2G3D8X0_CAPCH)	Dof
Solyc02g090410	LOB domain-containing protein 36 (AHRD V3.3 *** A0A2G3D8W8_CAPCH)	LBD
Solyc02g091030	Nuclear transcription factor Y subunit C-2 (AHRD V3.3 *-* A0A2G3D858_CAPCH)	NF-YC
Solyc02g091980	blind-like7	MYB
Solyc02g092070	Growth-regulating factor 8 (AHRD V3.3 *** A0A2G3AB32_CAPAN)	GRF
Solyc02g092550	LOB domain-containing protein 38 (AHRD V3.3 *** A0A2G2XGY4_CAPBA)	LBD
Solyc02g092570	Transcription factor GRAS (AHRD V3.3 *** A0A200R352_9MAGN)	GRAS
Solyc02g092930	R2R3MYB transcription factor  44	MYB
Solyc02g093050	WRKY transcription factor 8	WRKY
Solyc02g093130	Ethylene-responsive transcription factor RAP2-10 (AHRD V3.3 *** A0A2G2XHS4_CAPBA)	ERF
Solyc02g093420	NAC domain-containing protein 10 (AHRD V3.3 *** A0A2G3ACK5_CAPAN)	NAC
Solyc02g093740	R2R3MYB transcription factor 99	MYB
Solyc03g007410	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein (AHRD V3.11 *** tr|A0A1P8BE01|A0A1P8BE01_ARATH)	bHLH
Solyc03g007460	Solanum lycopersicum Cytokinin Response Factor 4	ERF
Solyc03g025440	Zinc finger, C2H2 (AHRD V3.3 *** A0A2U1N734_ARTAN)	C2H2
Solyc03g026270	CRT binding factor 3 (AHRD V3.3 *** B3TPP7_SOLPI)	ERF
Solyc03g026280	C-repeat binding factor 1	ERF
Solyc03g033660	GATA transcription factor (AHRD V3.3 *** K4BFN8_SOLLC)	GATA
Solyc03g034120	Homeobox-leucine zipper protein HOX14 (AHRD V3.3 *** A0A1U8GKM2_CAPAN)	HD-ZIP
Solyc03g034150	Homeobox-leucine zipper protein HOX14 (AHRD V3.3 *** A0A1U8GKM2_CAPAN)	HD-ZIP
Solyc03g059270	Zinc finger protein (AHRD V3.3 *** A0A200QA40_9MAGN)	C2H2
Solyc03g063140	LOB domain protein (AHRD V3.11 *-* tr|Q9AS62|Q9AS62_ORYSJ)	LBD
Solyc03g093550	Ethylene-responsive transcription factor 5 (AHRD V3.3 *** A0A2G3CVP7_CAPCH)	ERF
Solyc03g093610	ethylene response factor A.2	ERF
Solyc03g095980	bHLH transcription factor 021	bHLH
Solyc03g097120	Heat stress transcription factor A.1	HSF
Solyc03g097650	NAC domain (AHRD V3.3 *** A0A200R3X5_9MAGN)	NAC
Solyc03g098200	Homeobox-leucine zipper protein HDG12 (AHRD V3.3 *** A0A2G2X830_CAPBA)	HD-ZIP
Solyc03g111500	B3 domain-containing protein (AHRD V3.3 *** A0A1Q3B6Y6_CEPFO)	B3
Solyc03g111580	Zinc finger transcription factor 27	C3H
Solyc03g112390	R2R3MYB transcription factor 86	MYB
Solyc03g112930	Dof zinc finger protein (AHRD V3.3 *** A0A2K3NDY2_TRIPR)	Dof
Solyc03g113560	Transcription factor bHLH79 (AHRD V3.3 *-* A0A2G3A1L3_CAPAN)	bHLH
Solyc03g113760	E2F transcription factor-like E2FE (AHRD V3.3 *** A0A1U8FXH9_CAPAN)	E2F/DP
Solyc03g115440	ELM2 domain protein (AHRD V3.3 *** A0A1P8ARJ3_ARATH)	MYB_related
Solyc03g115450	Zinc finger protein (AHRD V3.3 *-* A0A200QBU2_9MAGN)	C2H2
Solyc03g115850	NAC domain-containing protein (AHRD V3.3 *** A0A2G3CZC4_CAPCH)	NAC
Solyc09g092235	Rapid ALkalinization Factor (AHRD V3.11 *** tr|A0A200Q5M2|A0A200Q5M2_9MAGN)	
Solyc09g092320	RNA binding protein (AHRD V3.3 *** O23793_NICSY)	
Solyc09g092340	Werner Syndrome-like exonuclease (AHRD V3.11 *** tr|A0A2G2XZP4|A0A2G2XZP4_CAPAN)	
Solyc09g092380	S-adenosyl-l-homocysteine hydrolase	
Solyc09g092440	Pentatricopeptide repeat (AHRD V3.3 *** A0A200Q5C6_9MAGN)	
Solyc09g092450	Long-chain acyl-CoA synthetase (AHRD V3.3 *** A0A1Z5KCI0_FISSO)	
Solyc09g092510	hypothetical protein (AHRD V3.3 *-* AT3G23740.1)	
Solyc09g092550	Pentatricopeptide repeat (PPR) superfamily protein (AHRD V3.3 *-* AT4G14200.1)	
Solyc09g092640	Cytochrome (AHRD V3.3 *** A0A1U8G4E5_CAPAN)	
Solyc09g097840	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2U1NT88_ARTAN)	
Solyc09g097850	Cysteine proteinase inhibitor (AHRD V3.3 *** A0A2G3BAN0_CAPCH)	
Solyc09g097860	Kinesin-like protein KIN12B (AHRD V3.3 *** A0A2G2YQB5_CAPAN)	
Solyc09g097930	Transcription termination factor (AHRD V3.11 *** tr|A0A2U1MCA6|A0A2U1MCA6_ARTAN)	
Solyc09g098770	Geraniol 8-hydroxylase (AHRD V3.3 *** A0A2G3CQY8_CAPCH)	
Solyc09g098040	Phosphoglucan, water dikinase, chloroplastic (AHRD V3.3 *** A0A1U8G4P2_CAPAN)	
Solyc09g098090	NAD(P)-linked oxidoreductase, aldo/keto reductase family protein (AHRD V3.3 *** A0A1Y1HY98_KLENI)	
Solyc09g098100	NB-LRR tospovirus immune receptor (AHRD V3.3 *** A0A221IWV2_SOLPN)	
Solyc09g098170	Ras-related protein RABA5b (AHRD V3.11 *** tr|A0A2G3CR82|A0A2G3CR82_CAPCH)	
Solyc09g098180	Pirin-like protein (AHRD V3.3 *** A0A2G3CR97_CAPCH)	
Solyc09g098190	Signal peptide peptidase-like 5 (AHRD V3.3 *-* A0A2G2ZT65_CAPAN)	
Solyc09g098230	ATP-dependent DNA helicase 2 subunit KU70 (AHRD V3.3 *** A0A2G2W1W9_CAPBA)	
Solyc09g098240	Importin beta-like SAD2 (AHRD V3.3 *** A0A1U8GC41_CAPAN)	
Solyc09g098260	Histone-lysine N-methyltransferase (AHRD V3.3 *** A0A0D3H3X4_9ORYZ)	
Solyc09g098350	F-box protein (AHRD V3.3 *** A0A1J3CDL8_NOCCA)	
Solyc09g098380	Amino acid transporter (AHRD V3.3 *** A0A200PYC4_9MAGN)	
Solyc09g098390	.1	
Solyc09g098425	CRIB domain-containing protein RI.1	
Solyc09g098530	phosphoribosylformylglycinamidine synthase Chr2:17968910-17970822 REVERSE LENGTH=437 201606 (AHRD V3.11 *** AT2G43235.1)	
Solyc09g098560	Survival motor neuron containing protein (AHRD V3.11 *** tr|B6TZU2|B6TZU2_MAIZE)	
Solyc10g005210	DNA-3-methyladenine glycosylase I (AHRD V3.3 *** B6TPB7_MAIZE)	
Solyc10g005310	Adenosine deaminase-like protein (AHRD V3.3 *** A0A2K3MU68_TRIPR)	
Solyc10g005340	CRIB domain-containing protein RIC10 (AHRD V3.3 *** A0A2G2VSE7_CAPBA)	
Solyc10g005490	Protein strawberry notch (AHRD V3.3 *** A0A2G3BCB2_CAPCH)	
Solyc10g005600	BTB/POZ domain-containing protein 1 (AHRD V3.11 *** tr|S5ZYZ0|S5ZYZ0_SOLTU)	
Solyc10g005610	serine/arginine repetitive matrix-like protein (AHRD V3.3 *** AT1G56020.1)	
Solyc10g005640	Protein phosphatase 2C (AHRD V3.3 *** A0A2U1PF73_ARTAN)	
Solyc10g005750	Calcium-dependent protein kinase (AHRD V3.3 *-* B2KTA9_WHEAT)	
Solyc10g005770	Protein kinase G11A (AHRD V3.3 *** A0A2G3BC70_CAPCH)	
Solyc10g005870	Peptidylprolyl isomerase (AHRD V3.3 *** A0A1U8EF45_CAPAN)	
Solyc10g005880	Uridine kinase (AHRD V3.3 *** A0A2G2Z615_CAPAN)	
Solyc10g005920	enhancer of mRNA-decapping protein 4-like (AHRD V3.3 *** A0A2I4F2H1_9ROSI)	
Solyc10g006090	Protein ENHANCED DOWNY MILDEW 2 (AHRD V3.3 *** A0A2G2YIJ3_CAPAN)	
Solyc10g006140	Acid phosphatase/vanadium-dependent haloperoxidase-related protein (AHRD V3.3 *** Q8L7M6_ARATH)	
Solyc10g006177	Unknown protein	
Solyc10g006360	hexon (AHRD V3.3 *** AT5G54850.1)	
Solyc10g006400	Tryptophan synthase beta chain (AHRD V3.3 *** B2J8R2_NOSP7)	
Solyc10g006410	AP-5 complex subunit zeta.1	
Solyc10g006440	Ypt/Rab-GAP domain of gyp1p superfamily protein (AHRD V3.3 *** F4JIR5_ARATH)	
Solyc10g006500	Hexosyltransferase (AHRD V3.3 *** A0A2G3ATI8_CAPCH)	
Solyc10g006520	Thioredoxin domain-containing protein (AHRD V3.3 *** A0A1Q3BMD7_CEPFO)	
Solyc10g162760	Lysine-specific histone demethylase-like protein (AHRD V3.11 *-* tr|A0A2K3PA68|A0A2K3PA68_TRIPR)	
Solyc10g006570	50S ribosomal protein L24, chloroplastic (AHRD V3.3 *-* A0A2G3C2Y9_CAPCH)	
